"No.","Time","Source","Destination","Protocol","Length","Info"
"58","27.684556","192.168.56.101","192.168.56.102","TCP","154","830  >  60836 [PSH, ACK] Seq=2618 Ack=1447 Win=32512 Len=88 TSval=2269498 TSecr=2268556"
"59","27.692788","192.168.56.102","192.168.56.101","TCP","390","60836  >  830 [PSH, ACK] Seq=1447 Ack=2706 Win=35328 Len=324 TSval=2268558 TSecr=2269498"
"60","27.696906","192.168.56.101","192.168.56.1","SSH","142","Server: Encrypted packet (len=76)"
"61","27.697143","192.168.56.1","192.168.56.101","TCP","66","64266  >  22 [ACK] Seq=1 Ack=77 Win=4093 Len=0 TSval=964141763 TSecr=2269501"
"62","27.697539","192.168.56.101","192.168.56.1","SSH","150","Server: Encrypted packet (len=84)"
"63","27.697779","192.168.56.1","192.168.56.101","TCP","66","64266  >  22 [ACK] Seq=1 Ack=161 Win=4093 Len=0 TSval=964141763 TSecr=2269501"
"64","27.698954","192.168.56.101","192.168.56.102","TCP","2918","830  >  60836 [PSH, ACK] Seq=2706 Ack=1771 Win=33792 Len=2852 TSval=2269502 TSecr=2268558"
"65","27.699265","192.168.56.102","192.168.56.101","TCP","66","60836  >  830 [ACK] Seq=1771 Ack=5558 Win=40960 Len=0 TSval=2268560 TSecr=2269502"
"66","27.699703","192.168.56.101","192.168.56.1","SSH","142","Server: Encrypted packet (len=76)"
"67","27.699946","192.168.56.1","192.168.56.101","TCP","66","64266  >  22 [ACK] Seq=1 Ack=237 Win=4093 Len=0 TSval=964141765 TSecr=2269502"
"68","27.700479","192.168.56.101","192.168.56.1","SSH","174","Server: Encrypted packet (len=108)"
"69","27.700957","192.168.56.1","192.168.56.101","TCP","66","64266  >  22 [ACK] Seq=1 Ack=345 Win=4092 Len=0 TSval=964141765 TSecr=2269502"
"70","27.701383","192.168.56.101","192.168.56.1","SSH","166","Server: Encrypted packet (len=100)"
"71","27.702124","192.168.56.1","192.168.56.101","TCP","66","64266  >  22 [ACK] Seq=1 Ack=445 Win=4092 Len=0 TSval=964141766 TSecr=2269502"
"72","39.596297","192.168.56.1","192.168.56.255","NBNS","92","Name query NB <01><02>__MSBROWSE__<02><01>"
"73","41.095199","192.168.56.1","192.168.56.255","NBNS","92","Name query NB <01><02>__MSBROWSE__<02><01>"
"74","42.095720","192.168.56.1","192.168.56.255","NBNS","92","Name query NB <01><02>__MSBROWSE__<02><01>"
